class_preference_score,condition,n_examples,seed,target_verb_logprob,target_verb_logprob_sum,top1_lemma_accuracy,top1_surface_accuracy,top3_lemma_accuracy,top3_surface_accuracy,top5_lemma_accuracy,top5_surface_accuracy,verb_class_accuracy
1.0125627248232905,AUX_identity_shuffle,600,2026,-3.9062958968585977,-3.9712482131427773,0.4583333333333333,0.41833333333333333,0.6733333333333333,0.63,0.7633333333333333,0.7166666666666667,0.6233333333333333
1.0212801657048345,AUX_identity_shuffle,600,2027,-3.8743043479928745,-3.942817254226344,0.44666666666666666,0.39,0.6616666666666666,0.6183333333333333,0.7516666666666667,0.7083333333333334,0.585
1.043763825281843,AUX_identity_shuffle,600,2028,-3.8426064103251942,-3.9108000814324866,0.48,0.43333333333333335,0.6616666666666666,0.6383333333333333,0.745,0.7083333333333334,0.6233333333333333
1.0545492453301855,AUX_random_ablation_r01,600,2026,-3.341892076916993,-3.412249304664632,0.505,0.48333333333333334,0.6883333333333334,0.67,0.7666666666666667,0.7466666666666667,0.67
1.0691290090547108,AUX_random_ablation_r01,600,2027,-3.3876064797040697,-3.448665009533676,0.5016666666666667,0.475,0.7016666666666667,0.6733333333333333,0.7816666666666666,0.76,0.645
0.9862628673671369,AUX_random_ablation_r01,600,2028,-3.411924394944993,-3.475797721450217,0.53,0.5066666666666667,0.7066666666666667,0.6883333333333334,0.8,0.7783333333333333,0.6733333333333333
0.9619186627303881,AUX_random_ablation_r02,600,2026,-3.4418347941525282,-3.5040681208111346,0.495,0.475,0.7183333333333334,0.6983333333333334,0.795,0.775,0.6466666666666666
0.9611414585486906,AUX_random_ablation_r02,600,2027,-3.3820063254532093,-3.445669701853767,0.5316666666666666,0.5016666666666667,0.7183333333333334,0.69,0.7783333333333333,0.7516666666666667,0.67
1.0212870804882765,AUX_random_ablation_r02,600,2028,-3.349758129211453,-3.414883990813978,0.5516666666666666,0.5183333333333333,0.72,0.6983333333333334,0.8,0.78,0.68
1.0436819215911923,AUX_target_ablation,600,2026,-3.9401788156378705,-4.005151209945325,0.4683333333333333,0.4116666666666667,0.66,0.62,0.7283333333333334,0.6833333333333333,0.5966666666666667
0.9736289823856975,AUX_target_ablation,600,2027,-3.881314734663659,-3.946851102358196,0.465,0.41833333333333333,0.665,0.6183333333333333,0.7366666666666667,0.6866666666666666,0.605
1.0198025571954676,AUX_target_ablation,600,2028,-4.119180127756359,-4.182626418249371,0.45166666666666666,0.405,0.66,0.6016666666666667,0.7416666666666667,0.685,0.6133333333333333
1.1482487819388796,original,600,2026,-3.186842674637058,-3.247112741075301,0.5683333333333334,0.5416666666666666,0.7366666666666667,0.7283333333333334,0.8016666666666666,0.7916666666666666,0.72
1.1421331644748534,original,600,2027,-3.242229363275692,-3.3031804838310928,0.5466666666666666,0.53,0.7183333333333334,0.695,0.8,0.7833333333333333,0.7116666666666667
1.2708317488905094,original,600,2028,-3.114802441337767,-3.1821415669238196,0.5716666666666667,0.5433333333333333,0.7433333333333333,0.7183333333333334,0.8266666666666667,0.8083333333333333,0.7333333333333333
