scale,seed,verb_class_accuracy,class_preference_score,top5_lemma_accuracy,dominant_predicted_class,dominant_prediction_share
0720k,2026,0.525,0.7137298133105194,0.6866666666666666,perception,0.39666666666666667
0720k,2027,0.5116666666666667,0.7520431759273385,0.685,mental_communication,0.3416666666666667
0720k,2028,0.5733333333333334,0.7366844839907823,0.69,mental_communication,0.37
2000k,2026,0.5966666666666667,0.9575439335028462,0.7333333333333333,perception,0.2916666666666667
2000k,2027,0.6233333333333333,0.9734846908557648,0.745,mental_communication,0.275
2000k,2028,0.6216666666666667,0.9318048392467629,0.735,perception,0.3
full,2026,0.72,1.1482487819388796,0.8016666666666666,mental_communication,0.26666666666666666
full,2027,0.7116666666666667,1.1421331644748534,0.8,mental_communication,0.30666666666666664
full,2028,0.7333333333333333,1.2708317488905094,0.8266666666666667,mental_communication,0.25833333333333336
