condition,device,epochs,final_loss,initial_loss,seed
intact_exposure,cpu,8,2.0438613939285277,10.369973754882812,2026
aux_ablated_exposure,cpu,8,2.3620259952545166,9.504295883178711,2026
aux_shuffled_exposure,cpu,8,2.5439031982421874,10.520335807800294,2026
matched_function_ablated_exposure,cpu,8,2.261790909767151,9.384962768554688,2026
intact_exposure,cpu,8,2.212979431152344,10.458234672546388,2027
aux_ablated_exposure,cpu,8,2.2760438442230226,9.987976684570313,2027
aux_shuffled_exposure,cpu,8,2.6301635456085206,10.633847579956054,2027
matched_function_ablated_exposure,cpu,8,2.165253953933716,9.64332546234131,2027
intact_exposure,cpu,8,2.029527635574341,9.768656387329102,2028
aux_ablated_exposure,cpu,8,2.253214282989502,9.072554779052734,2028
aux_shuffled_exposure,cpu,8,2.6461118412017823,9.905717086791991,2028
matched_function_ablated_exposure,cpu,8,2.0316207790374756,8.776756000518798,2028
