comparison,comparison_mean,contrast_label,delta_comparison_minus_reference,metric,reference,reference_mean,seed
AUX_target_ablation,1.030952916517646,AUX_specific_vs_content,-0.07399061726556,class_preference_score,AUX_matched_content,1.104943533783206,2029
AUX_target_ablation,0.605,AUX_specific_vs_content,-0.07833333333333337,verb_class_accuracy,AUX_matched_content,0.6833333333333333,2029
AUX_target_ablation,1.0576154729578475,AUX_specific_vs_content,-0.07545472838072187,class_preference_score,AUX_matched_content,1.1330702013385694,2030
AUX_target_ablation,0.6316666666666667,AUX_specific_vs_content,-0.021666666666666612,verb_class_accuracy,AUX_matched_content,0.6533333333333333,2030
AUX_target_ablation,1.0436819084102915,AUX_specific_vs_function,0.030159253016012855,class_preference_score,AUX_matched_function,1.0135226553942787,2026
AUX_target_ablation,0.5966666666666667,AUX_specific_vs_function,-0.09666666666666668,verb_class_accuracy,AUX_matched_function,0.6933333333333334,2026
AUX_target_ablation,0.973628982919004,AUX_specific_vs_function,-0.13114176217885232,class_preference_score,AUX_matched_function,1.1047707450978563,2027
AUX_target_ablation,0.605,AUX_specific_vs_function,-0.10166666666666668,verb_class_accuracy,AUX_matched_function,0.7066666666666667,2027
AUX_target_ablation,1.0198025598260558,AUX_specific_vs_function,-0.05335589204810387,class_preference_score,AUX_matched_function,1.0731584518741597,2028
AUX_target_ablation,0.6133333333333333,AUX_specific_vs_function,-0.07166666666666677,verb_class_accuracy,AUX_matched_function,0.685,2028
AUX_target_ablation,1.030952916517646,AUX_specific_vs_function,-0.00919882952976181,class_preference_score,AUX_matched_function,1.040151746047408,2029
AUX_target_ablation,0.605,AUX_specific_vs_function,-0.07000000000000006,verb_class_accuracy,AUX_matched_function,0.675,2029
AUX_target_ablation,1.0576154729578475,AUX_specific_vs_function,-0.06388176744812801,class_preference_score,AUX_matched_function,1.1214972404059755,2030
AUX_target_ablation,0.6316666666666667,AUX_specific_vs_function,-0.06166666666666665,verb_class_accuracy,AUX_matched_function,0.6933333333333334,2030
