class_preference_score,condition,n_examples,seed,target_verb_logprob,target_verb_logprob_sum,top1_lemma_accuracy,top1_surface_accuracy,top3_lemma_accuracy,top3_surface_accuracy,top5_lemma_accuracy,top5_surface_accuracy,verb_class_accuracy
1.012562732156563,AUX_identity_shuffle,600,2026,-3.9062958164699375,-3.971248135138303,0.4583333333333333,0.41833333333333333,0.6733333333333333,0.63,0.7633333333333333,0.7166666666666667,0.6233333333333333
1.0212801605925734,AUX_identity_shuffle,600,2027,-3.874304311724069,-3.9428172203417247,0.44666666666666666,0.39,0.6616666666666666,0.6183333333333333,0.7516666666666667,0.7083333333333334,0.585
1.043763840285469,AUX_identity_shuffle,600,2028,-3.842606371144454,-3.9108000422517457,0.48,0.43333333333333335,0.6616666666666666,0.6383333333333333,0.745,0.7083333333333334,0.6233333333333333
1.0275530382897404,AUX_identity_shuffle,600,2029,-3.901661413765202,-3.969699178195248,0.46,0.41833333333333333,0.6766666666666666,0.6416666666666667,0.7533333333333333,0.7083333333333334,0.6166666666666667
1.0551646101941001,AUX_identity_shuffle,600,2030,-3.959674960266178,-4.029215832243984,0.4483333333333333,0.40166666666666667,0.67,0.62,0.76,0.71,0.5916666666666667
0.9954485736671201,AUX_matched_content,600,2026,-3.0016697144159115,-3.0636217985201317,0.53,0.5083333333333333,0.7166666666666667,0.69,0.8016666666666666,0.7716666666666666,0.7033333333333334
0.9022251138019313,AUX_matched_content,600,2027,-3.1433201495107883,-3.208521906635724,0.5216666666666666,0.49166666666666664,0.7033333333333334,0.6766666666666666,0.7966666666666666,0.775,0.685
1.103575325873561,AUX_matched_content,600,2028,-2.9041226714364408,-2.965006087572547,0.5616666666666666,0.5366666666666666,0.7266666666666667,0.7016666666666667,0.7983333333333333,0.78,0.7
1.104943533783206,AUX_matched_content,600,2029,-2.923119659942264,-2.9829589876749862,0.535,0.505,0.7183333333333334,0.6983333333333334,0.8083333333333333,0.7833333333333333,0.6833333333333333
1.1330702013385694,AUX_matched_content,600,2030,-3.039973871813466,-3.0994507606886326,0.5333333333333333,0.5,0.7116666666666667,0.6833333333333333,0.7783333333333333,0.7616666666666667,0.6533333333333333
1.0135226553942787,AUX_matched_function,600,2026,-3.2641792900984488,-3.3328425269573927,0.53,0.5016666666666667,0.7333333333333333,0.71,0.8016666666666666,0.78,0.6933333333333334
1.1047707450978563,AUX_matched_function,600,2027,-3.2116746656231894,-3.2731523667966638,0.54,0.515,0.735,0.7083333333333334,0.8233333333333334,0.7983333333333333,0.7066666666666667
1.0731584518741597,AUX_matched_function,600,2028,-3.2857196312987558,-3.352585274896895,0.5383333333333333,0.5116666666666667,0.7116666666666667,0.6866666666666666,0.78,0.7583333333333333,0.685
1.040151746047408,AUX_matched_function,600,2029,-3.382008335153417,-3.444293580087057,0.5216666666666666,0.49333333333333335,0.7166666666666667,0.6916666666666667,0.79,0.7683333333333333,0.675
1.1214972404059755,AUX_matched_function,600,2030,-3.0922052901253725,-3.152079286418545,0.525,0.49833333333333335,0.7333333333333333,0.7116666666666667,0.8116666666666666,0.7916666666666666,0.6933333333333334
1.0436819084102915,AUX_target_ablation,600,2026,-3.9401788218917013,-4.005151213616288,0.4683333333333333,0.4116666666666667,0.66,0.62,0.7283333333333334,0.6833333333333333,0.5966666666666667
0.973628982919004,AUX_target_ablation,600,2027,-3.881314786252721,-3.946851148980204,0.465,0.41833333333333333,0.665,0.6183333333333333,0.7366666666666667,0.6866666666666666,0.605
1.0198025598260558,AUX_target_ablation,600,2028,-4.1191801125633845,-4.182626404248489,0.45166666666666666,0.405,0.66,0.6016666666666667,0.7416666666666667,0.685,0.6133333333333333
1.030952916517646,AUX_target_ablation,600,2029,-3.8489381627645343,-3.9107252180979897,0.44666666666666666,0.395,0.66,0.6166666666666667,0.7483333333333333,0.7033333333333334,0.605
1.0576154729578475,AUX_target_ablation,600,2030,-3.84423177746435,-3.9077902872115375,0.465,0.4083333333333333,0.6583333333333333,0.6166666666666667,0.7483333333333333,0.7,0.6316666666666667
1.1482487467226996,original,600,2026,-3.1868421945068985,-3.2471122598368676,0.5683333333333334,0.5416666666666666,0.7366666666666667,0.7283333333333334,0.8016666666666666,0.7916666666666666,0.72
1.1421330692284002,original,600,2027,-3.242229088251479,-3.303180209924467,0.5466666666666666,0.53,0.7183333333333334,0.695,0.8,0.7833333333333333,0.7116666666666667
1.2708316115226936,original,600,2028,-3.1148020402062686,-3.182141163873797,0.5716666666666667,0.5433333333333333,0.7433333333333333,0.7183333333333334,0.8266666666666667,0.8083333333333333,0.7333333333333333
1.1748487694727618,original,600,2029,-3.127823643673522,-3.1888972007234893,0.5633333333333334,0.5383333333333333,0.7266666666666667,0.71,0.8133333333333334,0.79,0.705
1.1113891305710386,original,600,2030,-3.1573919898550957,-3.2233034887940932,0.555,0.5333333333333333,0.7416666666666667,0.7183333333333334,0.8233333333333334,0.8,0.685
